Metric,Mean,Std,Median
#docs,125.0,,
Complex words,356.672,141.705554333739,354.0
Simple words,223.6,110.67658492930157,211.0
Word ratio (S/C),0.6445274802696054,0.23528686603295346,0.6557377049180327
Complex sents,14.232,5.132338962481576,13.0
Simple sents,10.44,4.950399136726576,10.0
Sent ratio (S/C),0.7494306849071285,0.3009116358753947,0.6842105263157895
FKGL complex,11.328898708295279,2.373313844369168,11.098549369290996
FKGL simple,13.479795667287998,2.1065428969388433,13.187773972602741
ΔFKGL (S - C),2.150896958992722,3.1381898741992256,2.079464765276299
FRE complex,40.14326056673928,11.052538698657628,41.334476372924655
FRE simple,35.89735056503661,10.822425735825735,35.767218771566604
ΔFRE (S - C),-4.2459100017026685,14.063700399811971,-4.897092367092341
Jaccard lex,0.3144217215375434,0.09903695770776037,0.2903225806451613
ROUGE-L F1 (S vs C),0.2723071028416498,0.10791643673566112,0.2419512195121951
BERTScore F1 (S vs C),0.874233603477478,0.021518563851714134,0.8719108700752258
