Metric,Mean,Std,Median
#docs,117.0,,
Complex words,304.1794871794872,113.976753179111,283.0
Simple words,186.47008547008548,81.84642606415622,175.0
Word ratio (S/C),0.6171355837146669,0.16382712223553175,0.6140350877192983
Complex sents,12.931623931623932,4.875566272551635,12.0
Simple sents,8.692307692307692,3.556105818752369,8.0
Sent ratio (S/C),0.6756195034694745,0.12902166324350442,0.6666666666666666
FKGL complex,12.01974993408638,2.991174118865391,11.616071428571427
FKGL simple,13.733787693619481,2.319277196420433,13.620038037276533
ΔFKGL (S - C),1.7140377595330978,3.2141084680955077,1.5394720824199517
FRE complex,36.97314204904754,13.012410722994064,38.85628571428572
FRE simple,33.51448247592262,12.169258307358476,33.36948780487808
ΔFRE (S - C),-3.458659573124916,13.898272680473863,-2.4837157153446867
Jaccard lex,0.4294136336125911,0.12383202608420547,0.4158878504672897
ROUGE-L F1 (S vs C),0.40485774855590984,0.1451396140651039,0.38823529411764696
BERTScore F1 (S vs C),0.8931084275245667,0.02666288986802101,0.8930884599685669
